qid,Len,P31,P1556,#
," Bultheel, A.",Q5,bultheel.adhemar,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bultheel, A.",Q5,bultheel.adhemar,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bulychev, P. E.",Q5,bulychev.peter-e,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bulygin, Stanislav",Q5,bulygin.stanislav-v,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bundy, Alan",Q5,bundy.alan,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bungartz, Hans-Joachim",Q5,bungartz.hans-joachim,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bungartz, Hans-Joachim",Q5,bungartz.hans-joachim,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bunnin, F. O.",Q5,bunnin.f-oliver,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bunse-Gerstner, Angelika",Q5,bunse-gerstner.angelika,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bünz, D.",Q5,bunz.dietmar,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buraczewski, A.",Q5,buraczewski.adam,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buras, Andrzej J.",Q5,buras.andrzej-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bureau, Alexandre",Q5,bureau.alexandre,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burer, Samuel",Q5,burer.samuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burgard, Jan Pablo",Q5,burgard.jan-pablo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burger, Michaek",Q5,burger.michaek,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burguillo-Rial, J. C.",Q5,burguillo-rial.juan-c,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buřič, Lubor",Q5,buric.lubor,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burkard, R. E.",Q5,burkard.rainer-e,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burkard, Rainer E.",Q5,burkard.rainer-e,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burke, Edmund",Q5,burke.edmund-kieran,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burke, Edmund K.",Q5,burke.edmund-kieran,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burke, E. K.",Q5,burke.edmund-kieran,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burke, Edmund K.",Q5,burke.edmund-kieran,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burke, P. G.",Q5,burke.phil-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burke, V. M.",Q5,burke.v-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burlacu, Robert",Q5,burlacu.robert,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burley, James Craig",Q5,burley.james-craig,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burman, Erik",Q5,burman.erik,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burness, Timothy C.",Q5,burness.timothy-c,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burnikel, Christoph",Q5,burnikel.christoph,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burns, Alan",Q5,burns.alan-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burns, Alan",Q5,burns.alan-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burns, David",Q5,burns.david-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burq, Nicolas",Q5,burq.nicolas,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Burrage, K.",Q5,burrage.kevin,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Burrage, Kevin",Q5,burrage.kevin,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buša, Ján",Q5,busa.jan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Busby, D. W.",Q5,busby.d-w,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buscaglia, Gustavo C.",Q5,buscaglia.gustavo-carlos,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buscaglia, Gustavo C.",Q5,buscaglia.gustavo-carlos,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buscaldi, Davide",Q5,buscaldi.davide,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Busé, Laurent",Q5,buse.laurent,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bush, Benjamin James",Q5,bush.benjamin-james,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bush, M. R.",Q5,bush.michael-r,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bushnell, David",Q5,bushnell.david-h,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bushnell, David H.",Q5,bushnell.david-h,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bussieck, Michael R.",Q5,bussieck.michael-r,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Bussolino, Federico",Q5,bussolino.federico,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Butenschön, Mathias",Q5,butenschon.mathias,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Butkovič, Peter",Q5,butkovic.peter,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Butler, L. T.",Q5,butler.leo-t,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Butova, Ksenia A.",Q5,butova.ksenia-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buttari, Alfredo",Q5,buttari.alfredo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buttazzo, G.",Q5,buttazzo.giuseppe,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Butter, Daniel",Q5,butter.daniel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Butterfield, Andrew",Q5,butterfield.andrew,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buttu, A.",Q5,buttu.anna,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buydens, Lutgarde M. C.",Q5,buydens.lutgarde-m-c,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Büyükçam, Umut",Q5,buyukcam.umut,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Büyükkeçeci, Ferit",Q5,buyukkececi.ferit,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buzug, Thorsten M.",Q5,buzug.thorsten-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buzzard, Gregory T.",Q5,buzzard.gregery-t,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Buzzard, Gregery T.",Q5,buzzard.gregery-t,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buzzard, Kevin",Q5,buzzard.kevin,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Buzzi, Claudio Aguinaldo",Q5,buzzi.claudio-aguinaldo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Byfut, Andreas",Q5,byfut.andreas,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Byg, Joakim",Q5,byg.joakim,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bykov, Dmitri",Q5,bykov.dmitri-v,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bykov, V.",Q5,bykov.viatcheslav,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Byrd, Richard H.",Q5,byrd.richard-h,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Byrne, George D.",Q5,byrne.george-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Byrne, G. D.",Q5,byrne.george-d,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Byrne, Helen M.",Q5,byrne.helen-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Byrne, Hilary L.",Q5,byrne.hilary-l,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Byrtus, Roman",Q5,byrtus.roman,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Bytev, Vladimir V.",Q5,bytev.vladimir-v,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Byun, Ki-Ryang",Q5,byun.ki-ryang,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caballero, Julio",Q5,caballero.julio,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabello, Adán",Q5,cabello.adan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cable, Jacob",Q5,cable.jacob,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabo-Bizet, Alejandro",Q5,cabo-bizet.alejandro,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caboara, Massimo",Q5,caboara.massimo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caboara, M.",Q5,caboara.massimo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caboussat, Alexandre",Q5,caboussat.alexandre,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabral-Rosetti, Luis G.",Q5,cabral-rosetti.luis-g,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabral, Celso Rômulo Barbosa",Q5,cabral.celso-romulo-barbosa,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabral, Edgar Alberto",Q5,cabral.edgar-alberto,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cabuz, Simona",Q5,cabuz.simona,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caccetta, L.",Q5,caccetta.louis,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cacchiani, Valentina",Q5,cacchiani.valentina,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cacchio, Vincenzo",Q5,cacchio.vincenzo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cacciapaglia, Giacomo",Q5,cacciapaglia.giacomo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cáceres, María J.",Q5,caceres.maria-jose,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cachafeiro López, A.",Q5,cachafeiro.alicia,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cachafeiro López, Alicia",Q5,cachafeiro.alicia,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caciuc, Vasile",Q5,caciuc.vasile,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cacuci, D. G.",Q5,cacuci.dan-gabriel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cada, Michael",Q5,cada.michael,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cadenas, J. M.",Q5,cadenas.jose-manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cadenillas, Abel",Q5,cadenillas.abel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cadoni, Mariano",Q5,cadoni.mariano,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cadou, J. M.",Q5,cadou.jean-marc,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cadusch, Peter J.",Q5,cadusch.peter-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caferra, Ricardo",Q5,caferra.ricardo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caffo, Michele",Q5,caffo.michele,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caffo, M.",Q5,caffo.michele,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cafieri, Sonia",Q5,cafieri.sonia,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caginalp, G.",Q5,caginalp.gunduz,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Çağlayan, Mustafa Onur",Q5,caglayan.mustafa-onur,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cahen, Paul-Jean",Q5,cahen.paul-jean,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cahon, S.",Q5,cahon.sebastien,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Bo",Q5,cai.bo,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Dongsheng",Q5,cai.dongsheng,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Dunbo",Q5,cai.dunbo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Jin-Yi",Q5,cai.jin-yi,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Li",Q5,cai.li,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Mao-Cheng",Q5,cai.maocheng,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Shaowei",Q5,cai.shaowei,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Shaowei",Q5,cai.shaowei,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Wei",Q5,cai.wei,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Wei",Q5,cai.wei,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Wentong",Q5,cai.wentong,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cai, Xiao-Chuan",Q5,cai.xiao-chuan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Xing",Q5,cai.xing,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Yi",Q5,cai.yi,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Yongyang",Q5,cai.yongyang,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Yunfeng",Q5,cai.yunfeng,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cai, Zhenning",Q5,cai.zhenning,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caiazzo, Alfonso",Q5,caiazzo.alfonso,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caiazzo, Alfonso",Q5,caiazzo.alfonso,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caillau, Jean-Baptiste",Q5,caillau.jean-baptiste,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caillaud, Benoît",Q5,caillaud.benoit,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caillaud, Benoît",Q5,caillaud.benoit,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caillerie, Claire",Q5,caillerie.claire,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cairns, Paul",Q5,cairns.paul,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Çakır, Ozan",Q5,cakir.ozan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Çakıroḡlu, Olca A.",Q5,cakiroglu.olca-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cala Rodríguez, F.",Q5,cala-rodriguez.francisco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calabrò, Francesco",Q5,calabro.francesco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calamai, Paul H.",Q5,calamai.paul-h,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calandrini, Sara",Q5,calandrini.sara,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calcagnì, Antonio",Q5,calcagni.antonio,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calderoni, S.",Q5,calderoni.s,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caldwell, Allen",Q5,caldwell.allen,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caldwell, Allen",Q5,caldwell.allen,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calegari, Danny",Q5,calegari.danny,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calegari, Frank",Q5,calegari.frank,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calheiros, Francisco",Q5,calheiros.francisco-l,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calhoun, Donna",Q5,calhoun.donna-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caliari, M.",Q5,caliari.marco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caliari, M.",Q5,caliari.marco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caliari, Marco",Q5,caliari.marco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caliciotti, Andrea",Q5,caliciotti.andrea,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calinescu, Radu",Q5,calinescu.radu-c,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Callies, Rainer",Q5,callies.rainer,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calmet, J.",Q5,calmet.jacques,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calò, Daniela G.",Q5,calo.daniela-giovanna,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calo, V. M.",Q5,calo.victor-manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calo, Victor Manuel",Q5,calo.victor-manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calo, Victor M.",Q5,calo.victor-manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caltagirone, Jean-Paul",Q5,caltagirone.jean-paul,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvetti, D.",Q5,calvetti.daniela,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvin, James M.",Q5,calvin.james-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Calvo, Jorge Alberto",Q5,calvo.jorge-alberto,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvo, M. P.",Q5,calvo.m-p,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvo, Manuel",Q5,calvo.manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvo, M.",Q5,calvo.manuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvo, Natividad",Q5,calvo.natividad,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calvo, Tomasa",Q5,calvo.tomasa,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Calzavara, Stefano",Q5,calzavara.stefano,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Camacho, E. F.",Q5,camacho.eduardo-fernandez,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Camara, B. I.",Q5,camara.baba-issa,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cámara, Javier",Q5,camara.javier,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Camargo-Molina, José Eliel",Q5,camargo-molina.jose-eliel,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Camata, José J.",Q5,camata.jose-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Camata, Jose J.",Q5,camata.jose-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cambil, Noelia",Q5,cambil.noelia,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Camilleri, John J.",Q5,camilleri.john-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Camilleri, John J.",Q5,camilleri.john-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caminhas, Walmir M.",Q5,caminhas.walmir-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cammi, Antonio",Q5,cammi.antonio,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campagna, Dario",Q5,campagna.dario,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campana, Emilio F.",Q5,campana.emilio-fortunato,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campanario, Francisco",Q5,campanario.francisco,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campbell, John M.",Q5,campbell.john-maxwell,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campbell, S. J.",Q5,campbell.s-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Campbell, S. L.",Q5,campbell.stephen-l,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campbell, Stephen L.",Q5,campbell.stephen-l,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Campbell, Stephen L.",Q5,campbell.stephen-l,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Campos, Carmen",Q5,campos.carmen,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Campos, Kilver",Q5,campos.kilver,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Can, Anıl",Q5,can.anil,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Canadell, Marta",Q5,canadell.marta,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Canal, Carlos",Q5,canal.carlos,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Canals, J. J. Miralles",Q5,canals.j-j-miralles,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Canca, David",Q5,canca.david,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cancès, Éric",Q5,cances.eric,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Candiello, Antonio",Q5,candiello.antonio,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Canedo Alonso, M. M.",Q5,canedo-alonso.m-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Canedo, M. M.",Q5,canedo.m-mar,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Čangalović, Mirjana",Q5,cangalovic.mirjana-m,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cangiani, Andrea",Q5,cangiani.andrea,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Canham, Samuel",Q5,canham.samuel,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caniou, Yves",Q5,caniou.yves,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cannataro, Begüm Şenses",Q5,cannataro.begum-senses,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cannon, John J.",Q5,cannon.john-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cannon, Mark",Q5,cannon.mark,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cano-Belmán, Jaime",Q5,cano-belman.jaime,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cano, Alfredo",Q5,cano.alfredo,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cantarella, Jason",Q5,cantarella.jason-h,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cantini, Andrea",Q5,cantini.andrea,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cantone, D.",Q5,cantone.domenico,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cantu, Vito Adrian",Q5,cantu.vito-adrian,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Canuto, C.",Q5,canuto.claudio,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Dazhi",Q5,cao.dazhi,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Feilong",Q5,cao.feilong,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Feilong",Q5,cao.feilong,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Jiannong",Q5,cao.jiannong,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Jing",Q5,cao.jing,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Jun",Q5,cao.jun,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Jun",Q5,cao.jun,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Qinxiang",Q5,cao.qinxiang,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Shengshan",Q5,cao.shengshan,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Yang",Q5,cao.yang,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Youfang",Q5,cao.youfang,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Yuanhao",Q5,cao.yuanhao,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Zhi-Hao",Q5,cao.zhihao,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cao, Zhihao",Q5,cao.zhihao,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cao, Zhitong",Q5,cao.zhitong,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Capatti, Zeno",Q5,capatti.zeno,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Capecelatro, Jesse",Q5,capecelatro.jesse,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Capillon, R.",Q5,capillon.r,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Capistran, Marcos A.",Q5,capistran.marcos-a,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Capitani, Joseph F.",Q5,capitani.joseph-f,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Capolei, Andrea",Q5,capolei.andrea,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Capon, Philip J.",Q5,capon.philip-j,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caporossi, Gilles",Q5,caporossi.gilles,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Capotorti, Andrea",Q5,capotorti.andrea,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caprara, Alberto",Q5,caprara.alberto,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caprara, Alberto",Q5,caprara.alberto,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caprotti, Olga",Q5,caprotti.olga,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caprotti, O.",Q5,caprotti.olga,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caputo, Barbara",Q5,caputo.barbara,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caramia, Massimiliano",Q5,caramia.massimiliano,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caramia, Massimiliano",Q5,caramia.massimiliano,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caraus, Iurie",Q5,caraus.iurie-nicolae,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Caravantes, Jorge",Q5,caravantes.jorge,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Caravantes, Jorge",Q5,caravantes.jorge,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carbajal-Espinosa, O.",Q5,carbajal-espinosa.oscar,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Carbonell, F.",Q5,carbonell.felix,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carbonell, F.",Q5,carbonell.felix,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carbonell, Felix",Q5,carbonell.felix,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carbonell, J.",Q5,carbonell.jaume,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Carbonnel, Clément",Q5,carbonnel.clement,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Carchiolo, Vincenza",Q5,carchiolo.vincenza,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cardiff, P.",Q5,cardiff.philip,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cardin, Niall",Q5,cardin.niall,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cardinale, Janick",Q5,cardinale.janick,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Cardona, A.",Q5,cardona.alberto,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cardoso de Oliveira, Izabela Regina",Q5,cardoso-de-oliveira.izabela-regina,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Carette, Jacques",Q5,carette.jacques,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carey, G. F.",Q5,carey.graham-f,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Carfora, Maria Francesca",Q5,carfora.maria-francesca,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carielo, M. S.",Q5,carielo.m-s,2022-01-27 15:30:29.884880: imported from zbMath Open API
," Carifio, Jonathan",Q5,carifio.jonathan,2022-01-27 15:30:29.884880: imported from zbMath Open API
,"Cariou, Véronique",Q5,cariou.veronique,2022-01-27 15:30:29.884880: imported from zbMath Open API
