id,document_title,source,classifications,doi,publication_year,author,keywords
oai:zbmath.org:7290109,New Simpson type integral inequalities for \(s\)-convex functions and their applications,"Math. Probl. Eng. 2020, Article ID 8871988, 12 p. (2020).",26D15;26A51;65D30,10.1155/2020/8871988,2020,"Kashuri, Artion; Mohammed, Pshtiwan Othman; Abdeljawad, Thabet; Hamasalh, Faraidun; Chu, Yuming",
oai:zbmath.org:7290112,Finite-time bounded control for coupled parabolic PDE-ODE systems subject to boundary disturbances,"Math. Probl. Eng. 2020, Article ID 8882382, 13 p. (2020).",93C20;93B52;93D05;93D15,10.1155/2020/8882382,2020,"Li, Manna; Mao, Weijie",
oai:zbmath.org:7290117,A new algorithm for solving large-scale generalized eigenvalue problem based on projection methods,"Math. Probl. Eng. 2020, Article ID 8895856, 10 p. (2020).",65F15;65F08,10.1155/2020/8895856,2020,"Nedamani, F. Abbasi; Sheikhani, A. H. Refahi; Najafi, H. Saberi",
oai:zbmath.org:7290120,Low-speed stability optimization of full-order observer for induction motor,"Math. Probl. Eng. 2020, Article ID 9507983, 11 p. (2020).",93C40;93B51;93B53,10.1155/2020/9507983,2020,"Liu, Xiangsheng; Ren, Lin; Yang, Yuanyuan; He, Jun; Zhou, Zhengxin",
oai:zbmath.org:7290125,Decompositions of amplituhedra,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 3, 303-363 (2020).",81T13;81T60;81U20;14M15;05E99;05A19;15B48;52C35,10.4171/AIHPD/87,2020,"Karp, Steven N.; Williams, Lauren K.; Zhang, Yan X.",amplituhedron;scattering amplitude;totally nonnegative Grassmannian;BCFW recursion;Narayana number;plane partition
oai:zbmath.org:7290126,The structure of spatial slices of 3-dimensional causal triangulations,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 3, 365-393 (2020).",05C10;60D05,10.4171/AIHPD/91,2020,"Durhuus, Bergfinnur; Jonsson, Thordur",3-dimensional random triangulations;causal triangulations
oai:zbmath.org:7290127,Lie groups of controlled characters of combinatorial Hopf algebras,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 3, 395-456 (2020).",22E65;16T05;16T30;43A40;46N40;46B45,10.4171/AIHPD/90,2020,"Dahmen, Rafael; Schmeding, Alexander",real analytic;infinite-dimensional Lie group;(combinatorial) Hopf algebra;silva space;weighted sequence space;inductive limit of Banach spaces;regularity of Lie groups;Faà di Bruno Hopf algebra;Butcher-Connes-kreimer Hopf algebra;(tame) Butcher group
oai:zbmath.org:7290128,Contraction of Dirac matrices via chord diagrams,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 4, 457-492 (2020).",81Q30;81T18;05C31;81V10;81R25;15A66,10.4171/AIHPD/89,2020,"Golz, Marcel",chord diagrams;Dirac matrices;Feynman integrals;quantum electrodynamics
oai:zbmath.org:7290129,A unified enumeration of 1-dimension garden algebras and valise Adinkras,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 4, 493-504 (2020).",05C30;05A15;05E10;81Q60,10.4171/AIHPD/92,2020,"Zhang, Yan X.",Adinkras;supersymmetry;combinatorics
oai:zbmath.org:7290130,Magnificent four,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 4, 505-534 (2020).",05A18;81Q20;81Q60;81T30,10.4171/AIHPD/93,2020,"Nekrasov, Nikita",partitions;supersymmetry;localisation;gauge theory;M-theory
oai:zbmath.org:7290131,The perimeter cascade in critical Boltzmann quadrangulations decorated by an \(O(n)\) loop model,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 4, 535-584 (2020).",05C80;05C81;60K35;60J80,10.4171/AIHPD/94,2020,"Chen, Linxiao; Curien, Nicolas; Maillard, Pascal",\(O(n)\) loop model;random planar map;multiplicative cascade;invariance principle;stable Lévy process
oai:zbmath.org:7290132,Laplacian growth and sandpiles on the Sierpiński gasket: limit shape universality and exact solutions,"Ann. Inst. Henri Poincaré D, Comb. Phys. Interact. (AIHPD) 7, No. 4, 585-664 (2020).",05C20;05C81;05E18;28A80;31A15;37B15;60K05;82C24,10.4171/AIHPD/95,2020,"Chen, Joe P.; Kudler-Flam, Jonah",Laplacian growth;rotor-router aggregation;divisible sandpiles;abelian sandpiles;sandpile group;internal diffusion-limited aggregation;harmonic measure;analysis on fractals;Sierpiński arrowhead curve;self-similarity;limit shapes;exact renormalization
oai:zbmath.org:7290133,Connectedness of attractors of a certain family of IFSs,"J. Fractal Geom. 7, No. 3, 219-231 (2020).",28A80;37C25;37C70;54E52,10.4171/JFG/89,2020,"Strobin, Filip; Swaczyna, Jaroslaw",fractals;iterated function systems;connectedness;Baire category;porosity
oai:zbmath.org:7290134,Quasi-doubling of self-similar measures with overlaps,"J. Fractal Geom. 7, No. 3, 233-270 (2020).",28A80;28C15;37C45,10.4171/JFG/91,2020,"Hare, Kathryn E.; Hare, Kevin G.; Troscheit, Sascha",self-similar measures;quasi-doubling;quasi-Assouad dimension;weak separation condition
oai:zbmath.org:7290135,Orthogonal projections of discretized sets,"J. Fractal Geom. 7, No. 3, 271-317 (2020).",28A80;11B30,10.4171/JFG/92,2020,"He, Weikun",projection theorem;discretized set;Hausdorff dimension
oai:zbmath.org:7290136,Construction of a one-dimensional set which asymptotically and omnidirectionally contains arithmetic progressions,"J. Fractal Geom. 7, No. 4, 319-327 (2020).",28A80;11B25,10.4171/JFG/90,2020,"Saito, Kota",arithmetic progressions;arithmetic patches;discrete Kakeya problem;Assouad dimension
oai:zbmath.org:7290137,On horospheric limit sets of Kleinian groups,"J. Fractal Geom. 7, No. 4, 329-350 (2020).",30F40;37F35,10.4171/JFG/93,2020,"Falk, Kurt; Matsuzaki, Katsuhiko",Kleinian group;horospheric limit set;Myrberg limit set;critical exponent;Patterson measure;geodesic flow;Hausdorff dimension
oai:zbmath.org:7290138,"Embedding fractals in Banach, Hilbert or Euclidean spaces","J. Fractal Geom. 7, No. 4, 351-386 (2020).",28A80;37C25;37C70,10.4171/JFG/94,2020,"Banakh, Taras; Nowak, Magdalena; Strobin, Filip",fractal structure;metric fractal;ultrametric fractal;topological fractal;ultrafractal;fractal in a Banach space;Kameyama metric;doubling metric
