qid,Len,P31,P894,#
,BIFURK,Q7397,'77',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BIGEBRA,Q7397,'78',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BioBrowser,Q7397,'79',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Biota,Q7397,'80',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BISTAB,Q7397,'81',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Blitz++,Q7397,'82',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BNCpack,Q7397,'83',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BOKASUN,Q7397,'84',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Boolector,Q7397,'85',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BoomerAMG,Q7397,'86',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BPMPD,Q7397,'88',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BPOLY,Q7397,'89',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BRANECODE,Q7397,'90',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BRENTM,Q7397,'91',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BRKF45,Q7397,'92',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BSFM,Q7397,'93',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BTN,Q7397,'94',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BTPEC,Q7397,'95',2022-01-27 16:24:02.058187: imported from zbMath Open API
,BVSPIS,Q7397,'96',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Cadabra,Q7397,'97',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CADNA,Q7397,'98',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CAGE,Q7397,'99',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CALYPSO,Q7397,'100',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CANM,Q7397,'101',2022-01-27 16:24:02.058187: imported from zbMath Open API
,Canon,Q7397,'102',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CAPDYN,Q7397,'103',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CAPLib,Q7397,'104',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CARP-CG,Q7397,'105',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CARRADS,Q7397,'106',2022-01-27 16:24:02.058187: imported from zbMath Open API
,CartGen,Q7397,'107',2022-01-27 16:24:02.058187: imported from zbMath Open API
